n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
383,0.00307,-,0.00262,0.11495,-,0.11569
384,0.00516,-,0.00322,0.11533,-,0.16649
385,0.00313,-,0.00326,0.11570,-,0.11603
386,0.00362,-,0.00327,0.16597,-,0.11596
387,0.00337,-,0.00298,0.11587,-,0.11591
388,0.00353,-,0.00310,0.11605,-,0.11627
389,0.00408,-,0.00365,0.16655,-,0.11646
390,0.00358,-,0.00302,0.11601,-,0.11653
391,0.00359,-,0.00298,0.11529,-,0.11618
392,0.00579,-,0.00328,0.11571,-,0.11596
393,0.00631,-,0.00311,0.11582,-,0.11615
394,0.00345,-,0.00286,0.11589,-,0.11581
395,0.00368,-,0.00350,0.16623,-,0.16696
396,0.00358,-,0.00391,0.11625,-,0.11659
397,0.00337,-,0.00308,0.11590,-,0.11621
398,0.00353,-,0.00328,0.16604,-,0.16634
399,0.00312,-,0.00280,0.11537,-,0.11612
400,0.00584,-,0.00355,0.16661,-,0.16584
401,0.00349,-,0.00303,0.11573,-,0.11596
402,0.00346,-,0.00352,0.16570,-,0.11598
403,0.00514,-,0.00327,0.16639,-,0.11633
404,0.00589,-,0.00318,0.11617,-,0.11531
405,0.00313,-,0.00378,0.16608,-,0.16674
406,0.00587,-,0.00373,0.16662,-,0.11638
407,0.00577,-,0.00322,0.11632,-,0.11574
408,0.00380,-,0.00330,0.11622,-,0.11617
409,0.00581,-,0.00366,0.16634,-,0.11597
410,0.00355,-,0.00311,0.11604,-,0.16697
411,0.00358,-,0.00329,0.11594,-,0.11644
412,0.00360,-,0.00315,0.11612,-,0.16656
413,0.00350,-,0.00311,0.11580,-,0.16651
414,0.00377,-,0.00333,0.16634,-,0.16669
415,0.00376,-,0.00350,0.11625,-,0.16694
416,0.00603,-,0.00397,0.11563,-,0.16542
417,0.00317,-,0.00258,0.11512,-,0.11533
418,0.00541,-,0.00293,0.11546,-,0.11632
419,0.00601,-,0.00331,0.11635,-,0.16680
420,0.00593,-,0.00306,0.16633,-,0.16626
421,0.00599,-,0.00355,0.11587,-,0.16642
422,0.00613,-,0.00311,0.11605,-,0.16707
423,0.00572,-,0.00311,0.11634,-,0.11632
424,0.00354,-,0.00348,0.11624,-,0.11621
425,0.00597,-,0.00331,0.11621,-,0.16695
426,0.00332,-,0.00342,0.11561,-,0.16693
427,0.00310,-,0.00291,0.11591,-,0.11647
428,0.00341,-,0.00320,0.11577,-,0.11550
429,0.00332,-,0.00381,0.16565,-,0.16547
430,0.00537,-,0.00374,0.16669,-,0.11654
431,0.00355,-,0.00326,0.11655,-,0.16663
432,0.00398,-,0.00317,0.11610,-,0.16603
433,0.00363,-,0.00382,0.16645,-,0.16667
434,0.00340,-,0.00304,0.11562,-,0.16590
435,0.00596,-,0.00346,0.16634,-,0.16613
436,0.00298,-,0.00292,0.11553,-,0.16686
437,0.00370,-,0.00349,0.11621,-,0.11636
438,0.00373,-,0.00324,0.16689,-,0.16675
